,Category,specialty,tool,trait,environment
0,program management,"[['computer science', 24], ['marketing', 9], ['consulting', 18], ['sales', 21], ['mba', 21], ['engineering', 33], ['statistics', 3], ['advertising', 2], ['finance', 3], ['business', 29], ['media', 4], ['systems engineering', 2], ['mathematics', 3], ['data analysis', 4], ['economics', 1], ['technical sales', 2], ['accounting', 2], ['machine learning', 3], ['electrical engineering', 2], ['security', 1], ['investment banking', 4], ['corporate strategy', 1], ['networking', 2], ['distributed systems', 2], ['digital marketing', 1], ['architecture', 4], ['consumer electronics', 3], ['load balance', 2], ['physics', 1], ['software development', 3], ['statistical modeling', 2], ['hr', 12], ['supply chain', 5], ['automation', 1], ['optimization', 5], ['digital media', 2], ['science', 24]]","[['python', 5], ['java', 5], ['javascript', 4], ['sql', 3], ['saas', 13], ['google cloud', 9], ['cloud computing', 4], ['android', 1], ['mobile', 4], ['database', 3], ['r', 72], ['web', 1], ['enterprise software', 10], ['g suite', 1], ['ios', 1], ['erp', 31], ['apps', 3], ['sas', 1], ['cs', 16], ['firewalls', 2], ['spreadsheet software', 1], ['c', 72], ['sap', 1]]","[['analytical', 15], ['project management', 20], ['flexibility', 4], ['interpersonal skills', 10], ['communication', 29], ['management', 64], ['problem-solving', 4], ['accountability', 1], ['strategic ', 14], ['responsibility', 6], ['leadership', 10], ['business intelligence', 1], ['agile', 1], ['advisory', 10], ['presentation', 11], ['budget management', 1], ['experience planning', 3], ['proactive', 1]]","[['changing environment', 1], ['team', 32], ['fast-paced environment', 1], ['cross-functional teams', 2], ['mentoring', 4], ['high energy', 1], ['deadline pressure', 1]]"
1,manufacturing & supply chain,"[['consulting', 1], ['mba', 7], ['engineering', 15], ['statistics', 1], ['finance', 6], ['business', 6], ['data analysis', 1], ['electrical engineering', 5], ['product design', 1], ['consumer electronics', 7], ['mechanical engineering', 6], ['supply chain', 14], ['chain management', 10]]","[['r', 16], ['erp', 6], ['cs', 10], ['c', 16]]","[['analytical', 2], ['project management', 1], ['communication', 11], ['management', 13], ['strategic ', 5], ['leadership', 1], ['creativity', 1], ['integrity', 1]]","[['team', 13], ['fast-paced environment', 1]]"
2,technical solutions,"[['computer science', 70], ['marketing', 13], ['consulting', 14], ['sales', 49], ['mba', 10], ['engineering', 51], ['statistics', 1], ['advertising', 10], ['business', 25], ['customer service', 11], ['media', 5], ['big data', 27], ['systems engineering', 28], ['mathematics', 7], ['data analysis', 2], ['economics', 1], ['technical sales', 23], ['machine learning', 11], ['security', 23], ['online advertising', 7], ['networking', 29], ['distributed systems', 23], ['digital marketing', 1], ['architecture', 23], ['consumer electronics', 1], ['consultative sales', 1], ['information systems', 1], ['load balance', 3], ['data mining', 5], ['software development', 2], ['statistical modeling', 1], ['hr', 8], ['supply chain', 1], ['optimization', 6], ['digital media', 2], ['data structures', 2], ['science', 70], ['virtualization', 9]]","[['python', 53], ['java', 57], ['javascript', 54], ['sql', 27], ['html', 33], ['iaas', 25], ['saas', 18], ['css', 14], ['google cloud', 7], ['cloud computing', 35], ['android', 16], ['mobile', 26], ['database', 27], ['php', 11], ['xml', 19], ['r', 100], ['http', 28], ['web', 51], ['enterprise software', 1], ['g suite', 3], ['ios', 13], ['erp', 25], ['ruby', 9], ['c#', 9], ['apps', 2], ['linux', 26], ['sps', 1], ['sas', 1], ['html5', 8], ['cs', 53], ['adwords', 2], ['firewalls', 7], ['crm', 3], ['flash', 4], ['perl', 3], ['oauth', 12], ['ajax', 6], ['nodejs', 8], ['c', 100], ['hadoop', 9], ['dns', 8], ['json', 8], ['soap', 5], ['dsps', 1], ['spark', 9], ['apis', 6], ['ux', 26], ['tcp', 7]]","[['analytical', 23], ['project management', 28], ['flexibility', 1], ['communication', 41], ['management', 67], ['problem-solving', 9], ['self-motivated', 1], ['strategic ', 9], ['leadership', 5], ['agile', 1], ['presentation', 21], ['proactive', 7]]","[['changing environment', 1], ['team', 56], ['fast-paced environment', 5], ['cross-functional teams', 4], ['competitive dynamic', 14]]"
3,developer relations,"[['computer science', 5], ['engineering', 1], ['machine learning', 1], ['science', 5]]","[['python', 2], ['java', 5], ['javascript', 5], ['android', 3], ['mobile', 4], ['php', 1], ['r', 5], ['web', 4], ['ios', 3], ['ruby', 1], ['c#', 1], ['linux', 1], ['cs', 1], ['c', 5], ['ux', 1]]",[],[]
4,hardware engineering,"[['computer science', 2], ['mba', 1], ['engineering', 18], ['finance', 1], ['electrical engineering', 10], ['product design', 2], ['architecture', 3], ['consumer electronics', 6], ['mechanical engineering', 4], ['physics', 3], ['supply chain', 1], ['automation', 4], ['optimization', 2], ['chain management', 1], ['science', 2]]","[['python', 5], ['android', 1], ['mobile', 1], ['matlab', 1], ['r', 22], ['linux', 3], ['cs', 12], ['tableau', 1], ['flash', 3], ['perl', 4], ['c', 22], ['ux', 3]]","[['project management', 3], ['communication', 8], ['management', 10], ['leadership', 1], ['integrity', 3], ['proactive', 1], ['team player', 1]]","[['team', 8], ['mentoring', 1]]"
5,partnerships,"[['computer science', 12], ['marketing', 3], ['consulting', 11], ['sales', 25], ['mba', 27], ['engineering', 11], ['advertising', 3], ['finance', 2], ['business', 34], ['media', 4], ['big data', 3], ['data analysis', 2], ['electrical engineering', 1], ['corporate strategy', 4], ['online advertising', 1], ['distributed systems', 2], ['digital marketing', 1], ['consumer electronics', 4], ['information systems', 1], ['pipeline development', 13], ['financial modeling', 2], ['hr', 6], ['automation', 2], ['field sales', 1], ['digital media', 1], ['science', 13]]","[['python', 3], ['java', 4], ['javascript', 1], ['sql', 5], ['html', 2], ['iaas', 10], ['saas', 20], ['css', 1], ['google cloud', 1], ['cloud computing', 7], ['android', 1], ['mobile', 6], ['database', 11], ['php', 1], ['xml', 1], ['r', 60], ['http', 1], ['web', 4], ['enterprise software', 10], ['ios', 1], ['erp', 33], ['ruby', 1], ['apps', 1], ['isvs', 11], ['sps', 11], ['html5', 1], ['cs', 11], ['middleware', 7], ['c', 60]]","[['analytical', 23], ['project management', 14], ['flexibility', 1], ['interpersonal skills', 7], ['communication', 35], ['management', 46], ['problem-solving', 11], ['influential relationships', 1], ['self-motivated', 1], ['strategic ', 16], ['responsibility', 6], ['leadership', 4], ['business intelligence', 1], ['agile', 11], ['advisory', 6], ['presentation', 12], ['proactive', 3]]","[['changing environment', 1], ['team', 20], ['fast-paced environment', 1], ['cross-functional teams', 9], ['competitive dynamic', 2], ['high energy', 1]]"
6,product & customer support,"[['computer science', 15], ['marketing', 12], ['consulting', 18], ['sales', 21], ['mba', 8], ['engineering', 15], ['statistics', 8], ['advertising', 2], ['business', 27], ['customer service', 7], ['media', 2], ['big data', 5], ['systems engineering', 7], ['mathematics', 3], ['data analysis', 8], ['economics', 3], ['technical sales', 7], ['machine learning', 5], ['security', 5], ['online advertising', 2], ['experiment design', 4], ['networking', 2], ['distributed systems', 2], ['architecture', 5], ['consumer electronics', 1], ['survey design', 4], ['data mining', 1], ['statistical modeling', 1], ['hr', 13], ['automation', 4], ['optimization', 3], ['econometrics', 4], ['market research', 5], ['science', 17]]","[['python', 12], ['java', 9], ['javascript', 5], ['sql', 19], ['html', 4], ['iaas', 9], ['saas', 6], ['google cloud', 7], ['cloud computing', 11], ['mobile', 2], ['database', 5], ['matlab', 4], ['r', 50], ['web', 6], ['g suite', 1], ['erp', 4], ['stata', 4], ['linux', 6], ['sps', 6], ['sas', 7], ['cs', 21], ['adwords', 6], ['tableau', 6], ['crm', 2], ['spss', 6], ['c', 50], ['hadoop', 2], ['sap', 3], ['ux', 6]]","[['analytical', 14], ['project management', 11], ['flexibility', 4], ['interpersonal skills', 2], ['communication', 14], ['management', 30], ['problem-solving', 6], ['influential relationships', 4], ['self-motivated', 6], ['strategic ', 2], ['business intelligence', 2], ['presentation', 11], ['customer relation', 1], ['proactive', 4]]","[['team', 24], ['fast-paced environment', 3], ['cross-functional teams', 1], ['competitive dynamic', 3]]"
7,software engineering,"[['computer science', 20], ['marketing', 1], ['mba', 1], ['engineering', 9], ['finance', 1], ['business', 3], ['machine learning', 6], ['electrical engineering', 4], ['security', 4], ['networking', 4], ['distributed systems', 3], ['architecture', 2], ['software development', 6], ['hr', 2], ['supply chain', 1], ['automation', 2], ['optimization', 2], ['data structures', 4], ['science', 20], ['virtualization', 1]]","[['python', 16], ['java', 16], ['javascript', 11], ['html', 4], ['css', 3], ['mobile', 3], ['php', 1], ['r', 23], ['web', 8], ['erp', 2], ['ruby', 1], ['c#', 6], ['linux', 9], ['html5', 3], ['cs', 6], ['perl', 2], ['ajax', 1], ['c', 24], ['soap', 1], ['ux', 9], ['tcp', 1]]","[['analytical', 1], ['communication', 2], ['management', 8], ['problem-solving', 1], ['leadership', 3], ['agile', 3]]","[['team', 3], ['mentoring', 1]]"
8,data center & network,"[['engineering', 1], ['electrical engineering', 1], ['security', 1], ['networking', 1], ['architecture', 1], ['mechanical engineering', 1], ['supply chain', 1]]","[['r', 2], ['c', 2]]","[['project management', 1], ['communication', 1], ['management', 2]]",[]
9,business strategy,"[['computer science', 17], ['marketing', 14], ['consulting', 28], ['sales', 12], ['mba', 63], ['engineering', 24], ['statistics', 18], ['advertising', 1], ['finance', 4], ['business', 86], ['media', 11], ['big data', 1], ['mathematics', 12], ['data analysis', 8], ['economics', 5], ['technical sales', 2], ['accounting', 4], ['machine learning', 6], ['electrical engineering', 2], ['investment banking', 8], ['corporate strategy', 10], ['experiment design', 2], ['networking', 1], ['data science', 12], ['mechanical engineering', 1], ['physics', 4], ['data mining', 5], ['financial modeling', 2], ['statistical modeling', 6], ['hr', 11], ['supply chain', 1], ['automation', 1], ['digital media', 2], ['econometrics', 1], ['science', 18]]","[['python', 7], ['java', 1], ['sql', 24], ['iaas', 1], ['saas', 4], ['google cloud', 1], ['cloud computing', 1], ['mobile', 7], ['database', 8], ['php', 1], ['matlab', 15], ['r', 98], ['web', 2], ['enterprise software', 2], ['g suite', 1], ['erp', 50], ['apps', 6], ['stata', 13], ['sps', 1], ['sas', 9], ['cs', 21], ['tableau', 1], ['spreadsheet software', 1], ['crm', 3], ['spss', 1], ['c', 98], ['ux', 1]]","[['analytical', 65], ['project management', 51], ['flexibility', 2], ['interpersonal skills', 7], ['communication', 43], ['management', 81], ['critical thinking', 34], ['problem-solving', 12], ['influential relationships', 1], ['accountability', 1], ['self-motivated', 2], ['strategic ', 53], ['leadership', 9], ['business intelligence', 4], ['agile', 1], ['advisory', 1], ['presentation', 13], ['experience planning', 1]]","[['changing environment', 35], ['team', 22], ['fast-paced environment', 1], ['cross-functional teams', 5], ['mentoring', 2], ['high energy', 1], ['deadline pressure', 1]]"
